"accessionyear","technique","objectnumber","lastupdate","dated","copyright","period","url","provenance","objectid","culture","standardreferencenumber","worktypes","department","state","style","datebegin","dimensions","dateend","century","medium","people","primaryimageurl","images","reversedescription","metal","reverseInscription","obverseInscription","dieAxis","denomination","dateObject"
"1976","Struck","1976.79.1019","2016-04-12T04:37:36-0400","c. 67 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181621",NA,"181621","Roman Republican","RRC 409/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-72","3.58 g","-62","1st century BCE","silver","list(birthplace = NA, name = ""M. Plaetorius M.f. Cestianus"", prefix = ""Issued by"", personid = 25803, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Issued by M. Plaetorius M.f. Cestianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03525_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735968"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03525_dynmc"", publiccaption = NA, idsid = ""18735968"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03525"")","Obv.: Head of Cybele r.; behind, forepart of a lion; before, globe; behind, CESTIANVS downwards. Bead and reel border.","AR","Around, counter-clockwise, M.PLAETORIVS.CVR.AED.EX.S.C","Behind, CESTIANVS downwards","5","denarius",NA
"1976","Cast","1976.79.936","2016-04-12T04:37:36-0400","c. 225-217 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181739",NA,"181739","Roman Republican","RRC 35/4","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-230","63.67 g","-212","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03426_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735869"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03426_dynmc"", publiccaption = NA, idsid = ""18735869"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03426"")","Obv.: Head of Hercules l.; behind, three pellets vertical.","AE",NA,NA,"12","quadrans",NA
"1976","Struck","1976.79.925","2016-04-12T04:37:36-0400","shortly before 269 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181746",NA,"181746","Roman Republican","RRC 17/1b var.; Rutter (HN3 Italy) 278 var.","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-279","5.45 g","-269","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03398_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735842"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03398_dynmc"", publiccaption = NA, idsid = ""18735842"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03398"")","Obv.: Head of Minerva l., wearing Corinthian helmet. Border of dots.","AE","Behind, ROMANO upwards",NA,"11","litra",NA
"1976","Cast","1976.79.915","2016-04-12T04:37:36-0400","c. 217-212 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181765",NA,"181765","Roman Republican","Rutter (HN3 Italy) 677a; Thurlow-Vecchi 281; BMC Italy, p.139 #29; SNG  Fitzwilliam, 48","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-222","32.93 g","-207","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03417_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735861"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03417_dynmc"", publiccaption = NA, idsid = ""18735861"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03417"")","Obv.: Four wheel spokes.","AE",NA,NA,"not assignable","quincunx",NA
"1976","Cast","1976.79.916","2016-04-12T04:37:36-0400","c. 217-212 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181811",NA,"181811","Roman Republican","Rutter (HN3 Italy) 677a; Thurlow-Vecchi 281; BMC Italy, p.139 #29; SNG  Fitzwilliam, 48","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-222","30.71 g","-207","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03418_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735862"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03418_dynmc"", publiccaption = NA, idsid = ""18735862"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03418"")","Obv.: Four wheel spokes;","AE",NA,NA,"not assignable","quincunx",NA
"1976","Cast","1976.79.922","2016-04-12T04:37:36-0400","c. 280-276 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181816",NA,"181816","Roman Republican","RRC 14/4","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-285","79.04 g","-270","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03420_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735864"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03420_dynmc"", publiccaption = NA, idsid = ""18735864"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03420"")","Obv.: R. hand; on l., three pellets vertical.","AE",NA,NA,"12","quadrans",NA
"1976","Struck","1976.40.347","2016-04-12T04:37:36-0400","after 211 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181828",NA,"181828","Roman Republican","RRC 44/6","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-216","2.16 g","-180","3rd-2nd century BCE","silver","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03451_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735894"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03451_dynmc"", publiccaption = NA, idsid = ""18735894"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03451"")","Obv.: Helmeted head of Roma, r.; behind, mark of value [V].","AR","Below, in linear frame, ROMA.","Behind, mark of value (V).","2","quinarius",NA
"1976","Struck","1976.79.1000","2016-04-12T04:37:36-0400","c. 89 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181830",NA,"181830","Roman Republican","RRC 343/1b","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-94","3.94 g","-84","1st century BCE","silver","list(birthplace = NA, name = ""M. Porcius Cato"", prefix = ""Moneyer:"", personid = 25879, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: M. Porcius Cato"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03504_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735947"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03504_dynmc"", publiccaption = NA, idsid = ""18735947"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03504"")","Obv.: Draped female bust r. (?Roma); behind, [RO]MA (MA in ligature); below, [M.CATO] (AT in ligature). Border of dots.","AR","In exergue, VICTRIX (TR in ligature)","Behind, ROMA (MA in ligature); below, M.CATO (AT in ligature)","5","denarius",NA
"1976","Struck","1976.79.1016","2016-04-12T04:37:36-0400","c. 69-57 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181854",NA,"181854","Roman Republican","RRC 405/5","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-74","3.68 g","-52","1st century BCE","silver","list(birthplace = NA, name = ""M. Plaetorius M.f. Cestianus"", prefix = ""Moneyer:"", personid = 25803, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: M. Plaetorius M.f. Cestianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03522_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735965"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03522_dynmc"", publiccaption = NA, idsid = ""18735965"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03522"")","Obv.: Male head r., with flowing hair; behind, control-mark (anchor). Border of dots.","AR","To r., M.PLAETORI; to l., CEST.EX.S.C",NA,"5","denarius",NA
"1976","Cast","1976.79.944","2016-04-12T04:37:36-0400","c. 215-212 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181880",NA,"181880","Roman Republican","RRC 41/5a","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-220","63.17 g","-207","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03430_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735873"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03430_dynmc"", publiccaption = NA, idsid = ""18735873"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03430"")","Obv.: Laureate head of bearded Janus.","AE","Above, mark of value (I)",NA,"12","as",NA
"1976","Struck","1976.79.954","2016-04-12T04:37:36-0400","after 211 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181885",NA,"181885","Roman Republican","RRC 56/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-210","32.22 g","-201","3rd-2nd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03437_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735880"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03437_dynmc"", publiccaption = NA, idsid = ""18735880"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03437"")","Obv.: Laureate head of Janus; above, mark of value [I]","AE","Below, ROMA","Above, mark of value (I)","1","as",NA
"1976","Struck","1976.40.592","2016-04-12T04:37:30-0400","c. 91 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/178839",NA,"178839","Roman Republican","RRC 339/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-96","5.17 g","-86","1st century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09982_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338605"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09982_dlvr"", publiccaption = NA, idsid = ""43338605"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09982"")","Obv.: Laureate head of Saturn r.; behind, [mark of value] (S).","AE","Above, mark of value (S); below, ROMA","Behind, mark of value (S)","3","semis",NA
"1976","Struck","1976.40.566","2016-04-12T04:37:30-0400","after 211 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/178841",NA,"178841","Roman Republican","RRC 56/8","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-215","6.04 g","-180","3rd-2nd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09979_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338602"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09979_dlvr"", publiccaption = NA, idsid = ""43338602"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09979"")","Obv.: Head of Mercury, r.","AE","Above, ROMA",NA,"3","semuncia",NA
"1976","Struck","1976.79.980","2016-04-12T04:37:34-0400","c. 103 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180699",NA,"180699","Roman Republican","RRC 320/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-108","3.81 g","-98","2nd century BCE","silver","list(birthplace = NA, name = ""L. Julius L.f. Sex.n. Caesar"", prefix = ""Moneyer:"", personid = 54075, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Julius L.f. Sex.n. Caesar"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03482_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735925"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03482_dynmc"", publiccaption = NA, idsid = ""18735925"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03482"")","Obv.: Helmeted head of Mars l.; behind, CAESAR upwards; above, control-mark (D retrograde; dot within). Border of dots.","AR","Above, control-mark (D retrograde; dot within); in exergue, L.IVLI.L.F","Above, control-mark (D retrograde; dot within); behind, CAESAR upwards","2","denarius",NA
"1976","Struck","1976.79.1038","2016-04-12T04:37:34-0400","44 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180865",NA,"180865","Roman Republican","RRC 480/10","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-49","3.76 g","-39","1st century BCE","silver","list(birthplace = NA, name = ""P. Sepullius Macer"", prefix = ""Moneyer:"", personid = 55629, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: P. Sepullius Macer"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03557_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736000"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03557_dynmc"", publiccaption = NA, idsid = ""18736000"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03557"")","Obv.: Head of Julius Caesar wearing the conona aurea (golden wreath) r. Border of dots.","AR","Behind, P.SEPVLLIVS downwards; before, MACER downwards","Before, CAESAR downwards; behind, DICT.PERPETVO upwards","3","denarius",NA
"1976","Struck","1976.79.1033","2016-04-12T04:37:34-0400","c. 55 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181010",NA,"181010","Roman Republican","RRC 432/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-60","3.62 g","-50","1st century BCE","silver","list(birthplace = NA, name = ""Cn. Plancius Cn.f."", prefix = ""Issued by"", personid = 53958, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Issued by Cn. Plancius Cn.f."")","http://nrs.harvard.edu/urn-3:HUAM:COIN03542_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735985"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03542_dynmc"", publiccaption = NA, idsid = ""18735985"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03542"")","Obv.: Female head r., wearing causia; before, CN.PLANCIVS downwards; behind, AED.CVR.S.C downwards. Border of dots.","AR",NA,"Before, CN.PLANCIVS downwards; behind, AED.CVR.S.C downwards","7","denarius",NA
"1976","Struck","1976.79.1415","2016-04-12T04:37:34-0400","c. 154 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181041",NA,"181041","Roman Republican","RRC 201/4","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-159","11.56 g","-149","2nd century BCE","bronze","list(birthplace = NA, name = ""C. Scribonius"", prefix = ""Moneyer:"", personid = 53959, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: C. Scribonius"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10076_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338699"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10076_dlvr"", publiccaption = NA, idsid = ""43338699"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10076"")","Obv.: Head of Minerva r., wearing Corinthian helmet; above, four pellets horizontal.","AE","Above, C.SCR; below, ROMA",NA,"5","triens",NA
"1976","Struck","1976.79.1046","2016-04-12T04:37:35-0400","?38 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181130",NA,"181130","Roman Republican","RRC 535/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-38","11.78 g","-38","1st century BCE","bronze","list(birthplace = NA, name = ""Octavian"", prefix = ""Issued by"", personid = 19678, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""r. 27 BCE - 14 CE"", deathplace = NA, displayname = ""Issued by Octavian"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03576_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736019"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03576_dynmc"", publiccaption = NA, idsid = ""18736019"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03576"")","Obv.: Laureate head of Julius Caesar r.; before, DIVOS downwards; behind, [IVLIVS] downwards.","AE","Before, CAESAR downwards; behind, DIVI.F downwards","Before, DIVOS downwards; behind, IVLIVS downwards","7",NA,NA
"1976","Struck","1976.79.1044","2016-04-12T04:37:35-0400","c. 38 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181147",NA,"181147","Roman Republican","RRC 533/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-43","3.63 g","-33","1st century BCE","silver","list(birthplace = NA, name = ""Marc Antony"", prefix = ""Issued by"", personid = 20470, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""83-30 BCE"", deathplace = NA, displayname = ""Issued by Marc Antony"")","http://nrs.harvard.edu/urn-3:HUAM:COIN14429_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43348441"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN14429_dlvr"", publiccaption = NA, idsid = ""43348441"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN14429"")","Obv.: Radiate head of Sol r.; around, clockwise, III.VIR.R.P.C.COS.DESIG.ITER[.ET.TER]. Border of dots.","AR","Around, clockwise, M.ANTONIVS.M.F.M.N.AVGVR.IMP.TERT","Around, clockwise, III.VIR.R.P.C.COS.DESIG.ITER.ET.TER","3","denarius",NA
"1976","Struck","1976.79.1037","2016-04-12T04:37:35-0400","c. 47 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181159",NA,"181159","Roman Republican","RRC 453/1a-b","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-52","4.04 g","-42","1st century BCE","silver","list(birthplace = NA, name = ""L. Plautius Plancus"", prefix = ""Moneyer:"", personid = 54079, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Plautius Plancus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03551_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735994"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03551_dynmc"", publiccaption = NA, idsid = ""18735994"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03551"")","Obv.: Head of Medusa facing, coiled snake to either side; below, L.PLAVT[IVS]. Border of dots.","AR","Below, PLANCVS or PLANCV","Below, L.PLAVTIVS","6","denarius",NA
"1976","Struck","1976.79.968","2016-04-12T04:37:35-0400","c. 157-156 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181229",NA,"181229","Roman Republican","RRC 197-198b/1b","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-162","23.33 g","-152","2nd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03441_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735884"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03441_dynmc"", publiccaption = NA, idsid = ""18735884"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03441"")","Obv.: Laureate head of Janus; above, mark of value (I).","AE","Before, mark of value (I); below, ROMA","Above, mark of value (I)","5","as",NA
"1976","Struck","1976.40.350","2016-04-12T04:37:35-0400","after 211 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181231",NA,"181231","Roman Republican","RRC 56/5","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-215","11.72 g","-180","3rd-2nd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03462_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735905"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03462_dynmc"", publiccaption = NA, idsid = ""18735905"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03462"")","Obv.: Head of Hercules r.; behind, four pellets vertical.","AE","Above, ROMA.",NA,"11","quadrans",NA
"1976","Struck","1976.79.1015","2016-04-12T04:37:35-0400","c. 74 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181255",NA,"181255","Roman Republican","RRC 395/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-79","3.6 g","-69","1st century BCE","silver","list(birthplace = NA, name = ""L. Cossutius C.f. Sabula"", prefix = ""Moneyer:"", personid = 54050, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Cossutius C.f. Sabula"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03521_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735964"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03521_dynmc"", publiccaption = NA, idsid = ""18735964"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03521"")","Obv.: Head of Medusa l.; behind, [S]ABVLA upwards. Border of dots.","AR","Behind, illegible control-mark; below, L.COSSVTI.C.F","Behind, SABVLA upwards","5","denarius",NA
"1976","Struck","1976.79.982","2016-04-12T04:37:35-0400","c. 102 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181262",NA,"181262","Roman Republican","RRC 321/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-107","3.5 g","-97","2nd century BCE","silver","list(birthplace = NA, name = ""L. Cassius Caecianus"", prefix = ""Moneyer:"", personid = 54047, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Cassius Caecianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03484_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735927"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03484_dynmc"", publiccaption = NA, idsid = ""18735927"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03484"")","Obv.: Draped bust of Ceres l.; behind, CAEICIAN (AE and AN in ligature); above, control-mark (.G). Border of dots. Counter-mark on neck.","AR","Above, control-mark (.P); in exergue, L.CASSI","Above, control-mark (.G); behind, CAEICIAN upwards (AE and AN in ligature)","11","denarius",NA
"1976","Struck","1976.79.1011","2016-04-12T04:37:35-0400","c. 79 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181267",NA,"181267","Roman Republican","RRC 382/1b","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-84","3.76 g","-74","1st century BCE","silver","list(birthplace = NA, name = ""C. Naevius Balbus"", prefix = ""Moneyer:"", personid = 54093, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: C. Naevius Balbus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03517_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735960"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03517_dynmc"", publiccaption = NA, idsid = ""18735960"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03517"")","Obv.: Head of Venus r., wearing diadem; behind, S.C downwards. Border of dots.","AR","Above, control-mark (CCVIII); in exergue, C.NAE.BALB (AE and AL in ligature)","Behind, S.C downwards","10","denarius",NA
